Kabupaten Cilacap,Kabupaten Banyumas,Kabupaten Purbalingga,Kabupaten Banjarnegara,Kabupaten Kebumen,Kabupaten Purworejo,Kabupaten Wonosobo,Kabupaten Magelang,Kabupaten Boyolali,Kabupaten Klaten,Kabupaten Sukoharjo,Kabupaten Wonogiri,Kabupaten Karanganyar,Kabupaten Sragen,Kabupaten Grobogan,Kabupaten Blora,Kabupaten Rembang,Kabupaten Pati,Kabupaten Kudus,Kabupaten Jepara,Kabupaten Demak,Kabupaten Semarang,Kabupaten Temanggung,Kabupaten Kendal,Kabupaten Batang,Kabupaten Pekalongan,Kabupaten Pemalang,Kabupaten Tegal,Kabupaten Brebes,Kota Magelang,Kota Surakarta,Kota Salatiga,Kota Semarang,Kota Pekalongan,Kota Tegal
1.63E-08,3.37E-07,4.72E-08,4.15E-08,5.39E-08,3.78E-08,3.79E-08,6.93E-08,6.80E-08,1.18E-07,9.09E-08,5.71E-08,9.03E-08,9.79E-08,5.22E-08,4.82E-08,3.80E-08,1.72E-07,1.83E-08,5.94E-08,5.00E-08,0,4.20E-08,1.64E-07,4.17E-08,4.36E-08,4.82E-08,8.10E-08,3.76E-07,2.86E-08,6.33E-07,3.20E-08,8.50E-09,3.00E-08,3.38E-08
1.17E-08,3.73E-08,3.80E-07,3.82E-06,1.90E-07,3.77E-07,3.92E-07,1.07E-07,1.10E-07,6.51E-08,7.80E-08,1.59E-07,7.85E-08,7.35E-08,2.15E-07,3.27E-07,4.03E-07,5.56E-08,1.28E-08,1.43E-07,2.62E-07,4.20E-08,0,5.65E-08,6.86E-06,1.11E-06,3.28E-07,8.72E-08,4.73E-08,8.93E-08,4.50E-08,1.35E-07,7.07E-09,1.05E-07,1.72E-07
1.48E-08,1.10E-07,6.63E-08,5.56E-08,8.03E-08,4.91E-08,4.93E-08,1.20E-07,1.16E-07,4.26E-07,2.04E-07,8.76E-08,2.01E-07,2.43E-07,7.66E-08,6.82E-08,4.95E-08,3.71E-06,1.65E-08,9.31E-08,7.19E-08,1.64E-07,5.65E-08,0,5.60E-08,5.95E-08,6.82E-08,1.60E-07,2.91E-07,3.46E-08,2.21E-07,3.98E-08,8.08E-09,3.67E-08,4.25E-08
1.17E-08,3.71E-08,3.60E-07,8.59E-06,1.85E-07,3.99E-07,4.15E-07,1.05E-07,1.08E-07,6.45E-08,7.72E-08,1.55E-07,7.76E-08,7.27E-08,2.08E-07,3.12E-07,4.28E-07,5.52E-08,1.27E-08,1.40E-07,2.53E-07,4.17E-08,6.86E-06,5.60E-08,0,9.55E-07,3.13E-07,8.61E-08,4.69E-08,9.04E-08,4.47E-08,1.37E-07,7.06E-09,1.07E-07,1.77E-07
1.19E-08,3.86E-08,5.78E-07,8.59E-07,2.29E-07,2.81E-07,2.90E-07,1.18E-07,1.22E-07,6.91E-08,8.39E-08,1.85E-07,8.44E-08,7.87E-08,2.66E-07,4.64E-07,2.95E-07,5.85E-08,1.29E-08,1.65E-07,3.43E-07,4.36E-08,1.11E-06,5.95E-08,9.55E-07,0,4.65E-07,9.46E-08,4.94E-08,8.26E-08,4.69E-08,1.20E-07,7.11E-09,9.58E-08,1.49E-07
1.22E-08,4.21E-08,2.38E-06,3.02E-07,4.53E-07,1.75E-07,1.78E-07,1.58E-07,1.65E-07,8.12E-08,1.02E-07,3.08E-07,1.03E-07,9.48E-08,6.24E-07,0.00018843,1.81E-07,6.70E-08,1.33E-08,2.55E-07,1.31E-06,4.82E-08,3.28E-07,6.82E-08,3.13E-07,4.65E-07,0,1.19E-07,5.52E-08,7.02E-08,5.21E-08,9.54E-08,7.22E-09,7.95E-08,1.13E-07
1.36E-08,6.53E-08,1.13E-07,8.52E-08,1.61E-07,7.08E-08,7.13E-08,4.77E-07,4.23E-07,2.57E-07,7.45E-07,1.93E-07,7.85E-07,4.69E-07,1.47E-07,1.19E-07,7.17E-08,1.54E-07,1.50E-08,2.23E-07,1.31E-07,8.10E-08,8.72E-08,1.60E-07,8.61E-08,9.46E-08,1.19E-07,0,1.03E-07,4.41E-08,9.29E-08,5.29E-08,7.69E-09,4.76E-08,5.79E-08
1.56E-08,1.78E-07,5.40E-08,4.67E-08,6.29E-08,4.20E-08,4.22E-08,8.49E-08,8.30E-08,1.73E-07,1.20E-07,6.73E-08,1.19E-07,1.32E-07,6.06E-08,5.53E-08,4.23E-08,3.15E-07,1.75E-08,7.05E-08,5.77E-08,3.76E-07,4.73E-08,2.91E-07,4.69E-08,4.94E-08,5.52E-08,1.03E-07,0,3.09E-08,9.27E-07,3.50E-08,8.31E-09,3.26E-08,3.71E-08
1.04E-08,2.63E-08,7.23E-08,9.14E-08,6.07E-08,1.17E-07,1.16E-07,4.86E-08,4.92E-08,3.76E-08,4.16E-08,5.71E-08,4.18E-08,4.03E-08,6.31E-08,7.01E-08,1.15E-07,3.43E-08,1.12E-08,5.50E-08,6.66E-08,2.86E-08,8.93E-08,3.46E-08,9.04E-08,8.26E-08,7.02E-08,4.41E-08,3.09E-08,0,2.99E-08,2.65E-07,6.55E-09,5.99E-07,1.86E-07
1.59E-08,2.20E-07,5.10E-08,4.45E-08,5.89E-08,4.02E-08,4.03E-08,7.78E-08,7.62E-08,1.46E-07,1.06E-07,6.27E-08,1.05E-07,1.16E-07,5.69E-08,5.21E-08,4.05E-08,2.35E-07,1.78E-08,6.55E-08,5.43E-08,6.33E-07,4.50E-08,2.21E-07,4.47E-08,4.69E-08,5.21E-08,9.29E-08,9.27E-07,2.99E-08,0,3.37E-08,8.39E-09,3.15E-08,3.57E-08
1.08E-08,2.92E-08,9.94E-08,1.40E-07,7.88E-08,2.10E-07,2.05E-07,5.95E-08,6.05E-08,4.39E-08,4.94E-08,7.29E-08,4.96E-08,4.76E-08,8.28E-08,9.54E-08,2.02E-07,3.94E-08,1.17E-08,6.94E-08,8.90E-08,3.20E-08,1.35E-07,3.98E-08,1.37E-07,1.20E-07,9.54E-08,5.29E-08,3.50E-08,2.65E-07,3.37E-08,0,6.72E-09,4.74E-07,6.19E-07
1.77E-08,8.72E-09,7.20E-09,7.05E-09,7.34E-09,6.94E-09,6.94E-09,7.57E-09,7.55E-09,7.93E-09,7.77E-09,7.40E-09,7.77E-09,7.82E-09,7.31E-09,7.22E-09,6.95E-09,8.10E-09,1.58E-08,7.43E-09,7.26E-09,8.50E-09,7.07E-09,8.08E-09,7.06E-09,7.11E-09,7.22E-09,7.69E-09,8.31E-09,6.55E-09,8.39E-09,6.72E-09,0,6.62E-09,6.79E-09
1.06E-08,2.75E-08,8.22E-08,1.08E-07,6.76E-08,1.45E-07,1.43E-07,5.29E-08,5.36E-08,4.02E-08,4.47E-08,6.32E-08,4.49E-08,4.32E-08,7.05E-08,7.94E-08,1.42E-07,3.63E-08,1.14E-08,6.06E-08,7.49E-08,3.00E-08,1.05E-07,3.67E-08,1.07E-07,9.58E-08,7.95E-08,4.76E-08,3.26E-08,5.99E-07,3.15E-08,4.74E-07,6.62E-09,0,2.69E-07
1.10E-08,3.07E-08,1.18E-07,1.80E-07,9.03E-08,3.17E-07,3.07E-07,6.58E-08,6.70E-08,4.72E-08,5.37E-08,8.26E-08,5.39E-08,5.15E-08,9.55E-08,1.13E-07,3.00E-07,4.20E-08,1.19E-08,7.82E-08,1.04E-07,3.38E-08,1.72E-07,4.25E-08,1.77E-07,1.49E-07,1.13E-07,5.79E-08,3.71E-08,1.86E-07,3.57E-08,6.19E-07,6.79E-09,2.69E-07,0
